language_id,table,id,column,source_crc,string
10,Ability,1,name,7482ade0,Smrad
10,Ability,1,short_effect,9301d482,Má šanci nepřítele [zastrašit]{mechanic:flinch} během útočení.
10,Ability,2,name,56942be0,Mrholení
10,Ability,2,short_effect,0d8facc9,"Přivolá [déšť]{mechanic:rain}, který trvá až po ukončení zápasu."
10,Ability,3,name,dbbf77d4,Zrychlení
10,Ability,3,short_effect,56aba85b,Zvýší [Rychlost]{mechanic:speed} o jeden [stupeň]{mechanic:stat-modifier} po každém kole.
10,Ability,4,name,8598e4a6,Bojové brnění
10,Ability,5,name,1456165e,Robustnost
10,Ability,6,name,fc71d5b7,Vlhkost
10,Ability,7,name,79e4c1ea,Pružnost
10,Ability,8,name,68fb38e0,Pískový plášť
10,Ability,9,name,876c2d13,Statika
10,Ability,10,name,25d248bb,Nabíjení
10,Ability,11,name,c9b017e7,Pohlcení vody
10,Ability,12,name,fe728b73,Nevšímavost
10,Ability,13,name,330485e9,Sedmé nebe
10,Ability,14,name,44379432,Složené oči
10,Ability,15,name,1b22e630,Nespavost
10,Ability,16,name,60f49ede,Změna barvy
10,Ability,17,name,c2bc5d44,Imunita
10,Ability,18,name,f776dc6c,Náhlý požár
10,Ability,19,name,2ba46975,Štítový ptrach
10,Ability,20,name,eec44109,Vlastní tempo
10,Ability,21,name,54175f22,Přísavky
10,Ability,22,name,882269a8,Zastrašení
10,Ability,23,name,e34db84d,Znamení temna
10,Ability,24,name,d17927e6,Drsná kůže
10,Ability,25,name,721a5247,Zázračný štít
10,Ability,26,name,50042f90,Levitace
10,Ability,27,name,9740ab47,Výtrusy
10,Ability,28,name,db646315,Synchronizace
10,Ability,29,name,446fb7b5,Průsvitnost
10,Ability,30,name,f042aa53,Přírodní lék
10,Ability,31,name,12f136d7,Hromosvod
10,Ability,32,name,ff40d1b0,Ušlechtilost
10,Ability,33,name,5ce14a2f,Hbitá plavba
10,Ability,33,short_effect,21665f64,Během [deště]{mechanic:rain} zdvojnásobuje [Rychlost]{mechanic:speed}.
10,Ability,34,name,06f85388,Chlorofyl
10,Ability,34,short_effect,ae2ff9cc,Během [slunečného počasí]{mechanic:strong-sunlight} zdvojnásobuje [Rychlost]{mechanic:speed}.
10,Ability,35,name,c6497d6e,Osvětlení
10,Ability,36,name,f09afaa5,Kopírování
10,Ability,37,name,7cb6bfd7,Obrovská síla
10,Ability,38,name,05f68593,Jedovatý roh
10,Ability,39,name,1c7e0068,Soustředění
10,Ability,40,name,a93bb7cf,Lávové brnění
10,Ability,41,name,d5a4bb6e,Vodní rouška
10,Ability,42,name,299a7bfe,Magnetismus
10,Ability,43,name,a3f44988,Hluchota
10,Ability,44,name,5ff669f9,Dešťová miska
10,Ability,45,name,fdc4b2e5,Proud písku
10,Ability,46,name,a6d9c231,Tlak
10,Ability,47,name,4bbe3ccb,Tlustý tuk
10,Ability,48,name,be432c28,Ranní ptáče
10,Ability,49,name,ff7f2a5c,Ohnivé tělo
10,Ability,50,name,18674783,Útěk
10,Ability,51,name,a3268228,Bystré oko
10,Ability,52,name,a07aeadd,Hyperřezač
10,Ability,53,name,46323ccb,Sbírání
10,Ability,54,name,1c2d5a58,Ulejvání
10,Ability,55,name,bd19389f,Čilost
10,Ability,56,name,5cd5f1a2,Roztomilost
10,Ability,57,name,30c04fcf,Plus
10,Ability,58,name,f9629873,Minus
10,Ability,59,name,d3ea1a12,Předpověď
10,Ability,60,name,213ca9bb,Ulepené ruce
10,Ability,61,name,a6fdcb25,Svlékání kůže
10,Ability,62,name,f7e28957,Kuráž
10,Ability,63,name,0d52a696,Zázračná šupina
10,Ability,64,name,bd31f6bf,Hnusný sliz
10,Ability,65,name,1c8c270c,Přerůstání
10,Ability,66,name,34fc1133,Žár
10,Ability,67,name,137a8e2a,Záplava
10,Ability,68,name,28667da5,Rojení
10,Ability,69,name,8c4fcf12,Kamenná hlava
10,Ability,70,name,9b951bc3,Vyprahlost
10,Ability,71,name,32b58a36,Past
10,Ability,72,name,fe8d56b9,Neposednost
10,Ability,73,name,b06fc24d,Bílý kouř
10,Ability,74,name,7c944184,Ryzí síla
10,Ability,75,name,2a253a10,Lasturoštít
10,Ability,76,name,1fe97cce,Vzdušný zámek
10,AbilityChangelog,1,effect,a881640e,Nemá žádný účinek při zápasu.
10,AbilityChangelog,2,effect,757e1dd8,"Funguje jen proti útokům, které vždy omráčí na jeden úder. (Ne proti těm, které jsou prostě příliš silné.)"
10,AbilityChangelog,3,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,4,effect,8742fa05,"Neabsorbuje nezraňující [elektrické]{type:electric} útoky, např. []{move:thunder-wave}."
10,AbilityChangelog,7,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,8,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,10,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,13,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,16,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,19,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,20,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,22,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,24,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,25,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,26,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,28,effect,a881640e,Nemá žádný účinek při zápasu.
10,AbilityChangelog,29,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,30,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,31,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,33,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,35,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,36,effect,46cb479e,Nemá žádný účinek v poli.
10,AbilityChangelog,37,effect,46cb479e,Nemá žádný účinek v poli.
10,BerryFirmness,2,name,dfb88a49,Měkká
10,BerryFirmness,3,name,6127b0ec,Tvrdá
10,ContestType,1,flavor,f2a1e3c9,Ostrá
10,ContestType,2,flavor,bc022ee2,Suchá
10,ContestType,2,name,11aabd4e,Krása
10,ContestType,5,name,531bc7f2,Síla
10,EggGroup,1,name,ebe3ff68,pozemní
10,EggGroup,8,name,9b103d6c,antropoidní
10,EggGroup,10,name,d22690e3,minerály
10,EggGroup,11,name,a950b4e7,beztvární
10,EggGroup,13,name,e8d9b1aa,Ditto
10,EggGroup,15,name,b3d9eb9d,nekřižitelní
10,EncounterCondition,1,name,28667da5,Rojení
10,EncounterCondition,2,name,218ba19e,Denní doba
10,EncounterCondition,3,name,006244fe,PokéRadar
10,EncounterCondition,5,name,2187340b,Rádio
10,EncounterConditionValue,1,name,c62f244f,Během rojení
10,EncounterConditionValue,2,name,28be2d2f,Ne během rojení
10,EncounterConditionValue,3,name,95bf5e60,Ráno
10,EncounterConditionValue,4,name,d4461d1a,Ve dne
10,EncounterConditionValue,5,name,4866149e,V noci
10,EncounterConditionValue,6,name,7d81d602,Pomocí PokéRadaru
10,EncounterConditionValue,7,name,61a0eb90,Bez PokéRadaru
10,EncounterConditionValue,14,name,994320ec,Vypnuté rádio
10,EncounterConditionValue,15,name,0e34be45,Hoennské rádio
10,EncounterConditionValue,16,name,d07cd16a,Sinnohské rádio
10,Generation,1,name,bbda05fc,I. generace
10,Generation,2,name,69b2728b,II. generace
10,Generation,3,name,a701fe63,III. generace
10,Generation,4,name,e4ba7f7e,IV. generace
10,Generation,5,name,36d20809,V. generace
10,GrowthRate,1,name,350771dd,pomalá
10,GrowthRate,2,name,c67345b7,průměrná
10,GrowthRate,3,name,256649c4,rychlá
10,GrowthRate,4,name,d69aac12,celkem pomalá
10,Item,1,effect,04883b3a,"Během zápasu: Chytí jednoho Pokémona, bez možnosti neúspěchu. Má stupeň chytitelnosti 255."
10,Item,305,name,93f16fb3,TM01
10,Item,306,name,0af83e09,TM02
10,Item,307,name,7dff0e9f,TM03
10,Item,308,name,e39b9b3c,TM04
10,Item,309,name,949cabaa,TM05
10,Item,310,name,0d95fa10,TM06
10,Item,311,name,7a92ca86,TM07
10,Item,312,name,ea2dd717,TM08
10,Item,313,name,9d2ae781,TM09
10,Item,314,name,fded6e64,TM10
10,Item,315,name,8aea5ef2,TM11
10,Item,316,name,13e30f48,TM12
10,Item,317,name,64e43fde,TM13
10,Item,318,name,fa80aa7d,TM14
10,Item,319,name,8d879aeb,TM15
10,Item,320,name,148ecb51,TM16
10,Item,321,name,6389fbc7,TM17
10,Item,322,name,f336e656,TM18
10,Item,323,name,8431d6c0,TM19
10,Item,324,name,d6c03da7,TM20
10,Item,325,name,a1c70d31,TM21
10,Item,326,name,38ce5c8b,TM22
10,Item,327,name,4fc96c1d,TM23
10,Item,328,name,d1adf9be,TM24
10,Item,329,name,a6aac928,TM25
10,Item,330,name,3fa39892,TM26
10,Item,331,name,48a4a804,TM27
10,Item,332,name,d81bb595,TM28
10,Item,333,name,af1c8503,TM29
10,Item,334,name,cfdb0ce6,TM30
10,Item,335,name,b8dc3c70,TM31
10,Item,336,name,21d56dca,TM32
10,Item,337,name,56d25d5c,TM33
10,Item,338,name,c8b6c8ff,TM34
10,Item,339,name,bfb1f869,TM35
10,Item,340,name,26b8a9d3,TM36
10,Item,341,name,51bf9945,TM37
10,Item,342,name,c10084d4,TM38
10,Item,343,name,b607b442,TM39
10,Item,344,name,809a9a21,TM40
10,Item,345,name,f79daab7,TM41
10,Item,346,name,6e94fb0d,TM42
10,Item,347,name,1993cb9b,TM43
10,Item,348,name,87f75e38,TM44
10,Item,349,name,f0f06eae,TM45
10,Item,350,name,69f93f14,TM46
10,Item,351,name,1efe0f82,TM47
10,Item,352,name,8e411213,TM48
10,Item,353,name,f9462285,TM49
10,Item,354,name,9981ab60,TM50
10,Item,355,name,ee869bf6,TM51
10,Item,356,name,778fca4c,TM52
10,Item,357,name,0088fada,TM53
10,Item,358,name,9eec6f79,TM54
10,Item,359,name,e9eb5fef,TM55
10,Item,360,name,70e20e55,TM56
10,Item,361,name,07e53ec3,TM57
10,Item,362,name,975a2352,TM58
10,Item,363,name,e05d13c4,TM59
10,Item,364,name,b2acf8a3,TM60
10,Item,365,name,c5abc835,TM61
10,Item,366,name,5ca2998f,TM62
10,Item,367,name,2ba5a919,TM63
10,Item,368,name,b5c13cba,TM64
10,Item,369,name,c2c60c2c,TM65
10,Item,370,name,5bcf5d96,TM66
10,Item,371,name,2cc86d00,TM67
10,Item,372,name,bc777091,TM68
10,Item,373,name,cb704007,TM69
10,Item,374,name,abb7c9e2,TM70
10,Item,375,name,dcb0f974,TM71
10,Item,376,name,45b9a8ce,TM72
10,Item,377,name,32be9858,TM73
10,Item,378,name,acda0dfb,TM74
10,Item,379,name,dbdd3d6d,TM75
10,Item,380,name,42d46cd7,TM76
10,Item,381,name,35d35c41,TM77
10,Item,382,name,a56c41d0,TM78
10,Item,383,name,d26b7146,TM79
10,Item,384,name,2c2fd52d,TM80
10,Item,385,name,5b28e5bb,TM81
10,Item,386,name,c221b401,TM82
10,Item,387,name,b5268497,TM83
10,Item,388,name,2b421134,TM84
10,Item,389,name,5c4521a2,TM85
10,Item,390,name,c54c7018,TM86
10,Item,391,name,b24b408e,TM87
10,Item,392,name,22f45d1f,TM88
10,Item,393,name,55f36d89,TM89
10,Item,394,name,3534e46c,TM90
10,Item,395,name,4233d4fa,TM91
